Assembly Accession	Assembly Name	Organism Name	Organism Taxonomic ID	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds
GCA_016861865.1	ApuulaauensisMK2_assembly01	Aspergillus puulaauensis	1220207		MK2					Annotation submitted by Fermentation Microbiology, Education and Research Center for Fermentation Studies, Faculty of Agriculture, Kagoshima University	Complete Genome	2021-01-30		8
GCF_016861865.1	ApuulaauensisMK2_assembly01	Aspergillus puulaauensis	1220207		MK2					Annotation submitted by Fermentation Microbiology, Education and Research Center for Fermentation Studies, Faculty of Agriculture, Kagoshima University	Complete Genome	2021-01-30		8
GCA_042100115.1	ASM4210011v1	Alternaria dauci	48095		A2016					Annotation submitted by Peking University	Complete Genome	2024-09-24	JBHGVX01	10
GCF_042100115.1	ASM4210011v1	Alternaria dauci	48095		A2016					Annotation submitted by Peking University	Complete Genome	2024-09-24	JBHGVX01	10
GCA_022605165.1	ASM2260516v1	Purpureocillium takamizusanense	2060973		PT3					Annotation submitted by Tokyo University of Science	Complete Genome	2022-03-17		14
GCF_022605165.1	ASM2260516v1	Purpureocillium takamizusanense	2060973		PT3					Annotation submitted by Tokyo University of Science	Complete Genome	2022-03-17		14
GCA_007735645.1	ASM773564v1	Venturia effusa	50376		albino					Annotation submitted by Massey University	Complete Genome	2019-07-31		20
GCA_009938135.1	ASM993813v1	Malassezia furfur	55194					CBS14141		Annotation submitted by Jawaharlal Nehru Centre for Advanced Scientific Research	Complete Genome	2020-01-28		7
GCA_036417295.1	ASM3641729v1	Cryptococcus decagattii	1859122		7685027					Annotation submitted by Broad Institute	Complete Genome	2024-02-06		14
GCF_036417295.1	ASM3641729v1	Cryptococcus decagattii	1859122		7685027					Annotation submitted by Broad Institute	Complete Genome	2024-02-06		14
GCA_050947605.1	ASM5094760v1	Hanseniaspora guilliermondii	56406		AWRI5769_F8					Annotation submitted by The Australian Wine Research Institute	Complete Genome	2025-06-17	JBMVJD01	7
GCA_050947625.1	ASM5094762v1	Hanseniaspora opuntiae	211096		AWRI5769_E9					Annotation submitted by The Australian Wine Research Institute	Complete Genome	2025-06-17	JBMVJE01	7
GCA_001984395.2	ASM198439v2	Zygosaccharomyces parabailii	1365886		ATCC 60483					Annotation submitted by Wolfe Lab	Complete Genome	2017-03-16		17
GCA_900080155.1	UBRO_v3	Ustilago bromivora	307758		UB2112					Annotation submitted by Institute of Bioinformatics and Systems Biology	Complete Genome	2016-11-03		23
GCA_036810445.1	ASM3681044v1	Kwoniella europaea PYCC6329	1423913		PYCC6329					Annotation submitted by Broad Institute	Complete Genome	2024-02-22		3
GCF_036810445.1	ASM3681044v1	Kwoniella europaea PYCC6329	1423913		PYCC6329					Annotation submitted by Broad Institute	Complete Genome	2024-07-02		3
GCA_000226115.1	ASM22611v1	Thermothielavioides terrestris NRRL 8126	578455		NRRL 8126					Annotation submitted by DOE Joint Genome Institute	Complete Genome	2011-09-16		6
GCF_000226115.1	ASM22611v1	Thermothielavioides terrestris NRRL 8126	578455		NRRL 8126					Annotation submitted by DOE Joint Genome Institute	Complete Genome	2011-09-16		6
GCA_046529785.1	ASM4652978v1	Rhynchosporium graminicola	2792576		WAI453					Annotation submitted by Australian National University	Complete Genome	2025-01-07		20
GCA_019565615.1	ASM1956561v1	Trichoderma simmonsii	1491479		GH-Sj1					Annotation submitted by National Marine Biodiversity Institute of Korea	Complete Genome	2021-08-11		7
GCA_013368755.1	ASM1336875v1	Talaromyces rugulosus	121627		W13939					Annotation submitted by Xi'an Jiaotong University	Complete Genome	2020-06-23		6
GCF_013368755.1	ASM1336875v1	Talaromyces rugulosus	121627		W13939					Annotation submitted by Xi'an Jiaotong University	Complete Genome	2020-06-23		6
GCA_020906515.1	ASM2090651v1	Vanrija pseudolonga	143232					DUCC4014		Annotation submitted by Dankook University	Complete Genome	2021-11-21		8
GCF_020906515.1	ASM2090651v1	Vanrija pseudolonga	143232					DUCC4014		Annotation submitted by Dankook University	Complete Genome	2021-11-21		8
GCA_001592805.2	ASM159280v2	Peltaster fructicola	286661		LNHT1506					Annotation submitted by Northwest A&F University	Complete Genome	2020-04-14		5
GCA_016097375.2	AlKewell	Ascochyta lentis	205686		Kewell					Annotation submitted by Curtin University	Complete Genome	2025-03-24		23
GCA_900681995.1	PVVCY_v1	Plasmodium vinckei vinckei	54757							Annotation submitted by KAUST	Chromosome	2019-01-30		14
GCF_900681995.1	PVVCY_v1	Plasmodium vinckei vinckei	54757							Annotation submitted by KAUST	Chromosome	2019-01-30		14
GCA_013402915.1	ASM1340291v1	Zygotorulaspora mrakii	42260		NRRL Y-6702					Annotation submitted by University College Dublin	Complete Genome	2020-07-12		8
GCF_013402915.1	ASM1340291v1	Zygotorulaspora mrakii	42260		NRRL Y-6702					Annotation submitted by University College Dublin	Complete Genome	2020-07-12		8
GCA_036630325.1	ASM3663032v1	Vairimorpha necatrix	6039					Illinois isolate		Annotation submitted by Umea University	Complete Genome	2024-02-15		12
GCF_036630325.1	ASM3663032v1	Vairimorpha necatrix	6039					Illinois isolate		Annotation submitted by Umea University	Complete Genome	2024-05-23		12
GCA_038396805.1	Version 1	Chloropicon roscoffensis	1461544		RCC1871					Annotation submitted by Universite Laval	Complete Genome	2024-04-20		19
GCA_964275045.1	MOUN0	Monosporozyma unispora	27294							Annotation submitted by Genoscope	Complete Genome	2024-10-10		15
GCA_017301755.1	ASM1730175v1	Pneumocystis wakefieldiae	38082					2A		Annotation submitted by National Institutes Of Health	Complete Genome	2021-03-08		17
GCA_052935025.1	ASM5293502v1	Puccinellia chinampoensis	428215					YW-2025		Annotation submitted by Jilin Academy of Agricultu	Complete Genome	2025-10-01	JBRAXL01	9
GCA_020045945.2	ASM2004594v2	Trichoderma semiorbis	1491008		FJ059					Annotation submitted by Hainan University	Complete Genome	2021-09-24	JAIMJC01	7
GCA_026210745.1	ASM2621074v1	Exobasidium rhododendri	63378		CBS101457					Annotation submitted by Hebei University	Complete Genome	2022-11-16		3
GCA_051132625.1	ASM5113262v1	Hypoxylon texense	2594544		DSM 107933					Annotation submitted by Bielefeld University	Complete Genome	2025-06-28		9
GCA_051148585.1	ASM5114858v1	Colletotrichum jinshuiense	2283408					EsH8		Annotation submitted by Hubei Academy of Agricultural Sciences	Complete Genome	2024-04-09		15
GCA_024114885.1	ASM2411488v1	Septoria linicola	215465		SE15195					Annotation submitted by INRAE	Complete Genome	2022-07-01		16
GCA_050947055.1	ASM5094705v1	Auxenochlorella protothecoides x Auxenochlorella symbiontica	3385098					UTEX 250-A		Annotation submitted by UC Berkeley	Complete Genome	2025-06-17	JBMYHL01	12
GCA_035610405.1	ASM3561040v1	Australozyma saopauloensis	291208		19XY460					Annotation submitted by Peking Union Medical College Hospital	Complete Genome	2024-01-12		8
GCF_035610405.1	ASM3561040v1	Australozyma saopauloensis	291208		19XY460					Annotation submitted by Peking Union Medical College Hospital	Complete Genome	2024-01-12		8
GCA_963924405.1	CAAN4	[Candida] anglica	148631		29B2s-10					Annotation submitted by Genoscope CEA	Complete Genome	2024-03-09		8
GCA_033807595.1	ASM3380759v1	Acrodontium crateriforme	150365					169a		Annotation submitted by Academia Sinica	Complete Genome	2023-11-20		14
GCA_050947655.1	ASM5094765v1	Hanseniaspora osmophila	56408		AWRI865					Annotation submitted by The Australian Wine Research Institute	Complete Genome	2025-06-17	JBMVJF01	7
GCA_000412225.2	ASM41222v2	[Ashbya] aceris (nom. inval.)	566037							Annotation submitted by Duke University, Molecular Genetics and Microbiology	Complete Genome	2014-06-05		7
GCA_040256855.1	ASM4025685v1	Hanseniaspora menglaensis	3081051		CBS 16921					Annotation submitted by Conway Institute, University College Dublin	Complete Genome	2024-06-20		7
GCA_029542865.1	ASM2954286v1	Malassezia equina	1381935		CBS 12830					Annotation submitted by Duke University	Complete Genome	2023-04-03		8
GCA_049488355.1	Version 1	Pseudoscourfieldia marina	41886		K-0017					Annotation submitted by Universite Laval	Complete Genome	2025-04-11		45
GCA_051599425.1	Sai_col_YB2330_v1	Saitoella coloradoensis	1099800		NRRL_YB-2330					Annotation submitted by Laboratory of Yeast Systematics, Tokyos NODAI Research Institute, Tokyo University Of Agriculture	Complete Genome	2025-07-19		38
GCA_010111755.1	ASM1011175v1	Nakaseomyces glabratus	5478		ATCC 2001					Annotation submitted by Johns Hopkins Medical Institution	Chromosome	2020-02-03		13
GCF_010111755.1	ASM1011175v1	Nakaseomyces glabratus	5478		ATCC 2001					Annotation submitted by Johns Hopkins Medical Institution	Chromosome	2020-02-03		13
GCA_000006445.2	ASM644v2	Debaryomyces hansenii CBS767	284592		CBS767					Annotation submitted by Genolevures Consortium	Chromosome	2008-09-16		7
GCF_000006445.2	ASM644v2	Debaryomyces hansenii CBS767	284592		CBS767					Annotation submitted by Genolevures Consortium	Chromosome	2008-09-16		7
GCA_000026365.1	ASM2636v1	Zygosaccharomyces rouxii	4956		CBS 732					Annotation submitted by Genolevures Consortium	Chromosome	2009-06-05		7
GCF_000026365.1	ASM2636v1	Zygosaccharomyces rouxii	4956		CBS 732					Annotation submitted by Genolevures Consortium	Chromosome	2009-06-05		7
GCA_002079055.1	ASM207905v1	Saccharomyces paradoxus	27291		CBS432					Annotation submitted by SC	Chromosome	2017-03-21		16
GCF_002079055.1	ASM207905v1	Saccharomyces paradoxus	27291		CBS432					Annotation submitted by SC	Chromosome	2017-03-21		16
GCA_000237345.1	ASM23734v1	Naumovozyma castellii	27288		type strain:CBS 4309					Annotation submitted by Wolfe Laboratory, Smurfit Institute of Genetics, Trinity College Dublin	Chromosome	2011-08-01		10
GCF_000237345.1	ASM23734v1	Naumovozyma castellii	27288		type strain:CBS 4309					Annotation submitted by Wolfe Laboratory, Smurfit Institute of Genetics, Trinity College Dublin	Chromosome	2011-08-01		10
GCA_000243375.1	ASM24337v1	Torulaspora delbrueckii	4950		type strain:CBS 1146					Annotation submitted by Wolfe Laboratory, Smurfit Institute of Genetics, Trinity College Dublin, Ireland	Chromosome	2011-12-08		8
GCF_000243375.1	ASM24337v1	Torulaspora delbrueckii	4950		type strain:CBS 1146					Annotation submitted by Wolfe Laboratory, Smurfit Institute of Genetics, Trinity College Dublin, Ireland	Chromosome	2011-12-08		8
GCA_000142805.1	ASM14280v1	Lachancea thermotolerans CBS 6340	559295		CBS 6340					Annotation submitted by Génolevures Consortium	Chromosome	2009-06-05		8
GCF_000142805.1	ASM14280v1	Lachancea thermotolerans CBS 6340	559295		CBS 6340					Annotation submitted by Génolevures Consortium	Chromosome	2009-06-05		8
GCA_002954075.1	C. deuterogattii_R265_chr	Cryptococcus deuterogattii R265	294750					R265		Annotation submitted by Jawaharlal Nehru Centre for Advanced Scientific Research	Chromosome	2018-02-27		14
GCF_002954075.1	C. deuterogattii_R265_chr	Cryptococcus deuterogattii R265	294750					R265		Annotation submitted by Jawaharlal Nehru Centre for Advanced Scientific Research	Chromosome	2018-02-27		14
GCA_000304475.1	Ka_CBS2517	Kazachstania africana CBS 2517	1071382		type strain:CBS 2517					Annotation submitted by Wolfe Laboratory, Smurfit Institute of Genetics, Trinity College Dublin, Ireland	Chromosome	2012-01-17		12
GCF_000304475.1	Ka_CBS2517	Kazachstania africana CBS 2517	1071382		type strain:CBS 2517					Annotation submitted by Wolfe Laboratory, Smurfit Institute of Genetics, Trinity College Dublin, Ireland	Chromosome	2012-01-17		12
GCA_005498985.1	PGRAM_IIB_1.0	Sporisorium graminicola	280036		CBS 10092					Annotation submitted by University of Liverpool, Institute of Integrative Biology	Chromosome	2019-06-06	SRRM01	22
GCF_005498985.1	PGRAM_IIB_1.0	Sporisorium graminicola	280036		CBS 10092					Annotation submitted by University of Liverpool, Institute of Integrative Biology	Chromosome	2019-06-06	SRRM01	22
GCA_000315915.1	ASM31591v1	Henningerozyma blattae CBS 6284	1071380		type strain:CBS 6284					Annotation submitted by Wolfe Laboratory, Smurfit Institute of Genetics, Trinity College Dublin, Ireland	Chromosome	2012-05-11		10
GCF_000315915.1	ASM31591v1	Henningerozyma blattae CBS 6284	1071380		type strain:CBS 6284					Annotation submitted by Wolfe Laboratory, Smurfit Institute of Genetics, Trinity College Dublin, Ireland	Chromosome	2012-05-11		10
GCA_000348985.1	ASM34898v1	Huiozyma naganishii CBS 8797	1071383		type strain:CBS 8797					Annotation submitted by Wolfe Laboratory, Smurfit Institute of Genetics, Trinity College Dublin, Ireland	Chromosome	2012-09-05		13
GCF_000348985.1	ASM34898v1	Huiozyma naganishii CBS 8797	1071383		type strain:CBS 8797					Annotation submitted by Wolfe Laboratory, Smurfit Institute of Genetics, Trinity College Dublin, Ireland	Chromosome	2012-09-05		13
GCA_000227115.2	ASM22711v2	Naumovozyma dairenensis CBS 421	1071378		type strain:CBS 421					Annotation submitted by Wolfe Laboratory, Smurfit Institute of Genetics, Trinity College Dublin, Ireland	Chromosome	2012-08-20		11
GCF_000227115.2	ASM22711v2	Naumovozyma dairenensis CBS 421	1071378		type strain:CBS 421					Annotation submitted by Wolfe Laboratory, Smurfit Institute of Genetics, Trinity College Dublin, Ireland	Chromosome	2012-08-20		11
GCA_000001735.2	TAIR10.1	Arabidopsis thaliana	3702				Columbia			Annotation submitted by The Arabidopsis Information Resource (TAIR)	Chromosome	2018-03-15		5
GCF_000001735.4	TAIR10.1	Arabidopsis thaliana	3702				Columbia			Annotation submitted by TAIR and Araport	Chromosome	2018-03-15		5
GCF_036512215.1	SLM_r2.1	Solanum lycopersicum	4081							GCF_036512215.1-RS_2024_09	Chromosome	2024-09-03		12
GCA_000002945.3	ASM294v3	Schizosaccharomyces pombe	4896		972h-					Annotation submitted by S. pombe European Sequencing Consortium (EUPOM)	Chromosome	2007-11-09		3
GCF_000002945.2	ASM294v3	Schizosaccharomyces pombe	4896		972h-					Annotation submitted by PomBase	Chromosome	2019-07-23		3
GCA_000182965.3	ASM18296v3	Candida albicans SC5314	237561		SC5314					CGD A22-s07-m01-r01	Chromosome	2016-10-12		8
GCF_000182965.3	ASM18296v3	Candida albicans SC5314	237561		SC5314					CGD A22-s07-m01-r01	Chromosome	2016-10-12		8
GCF_030269925.1	ASM3026992v2	Bombyx mori	7091							GCF_030269925.1-RS_2024_01	Chromosome	2023-07-06		29
GCA_000149245.3	CNA3	Cryptococcus neoformans H99	235443		H99					Annotation submitted by Broad Institute	Chromosome	2014-02-07		14
GCF_000149245.1	CNA3	Cryptococcus neoformans H99	235443		H99					Annotation submitted by Broad Institute	Chromosome	2014-02-07		14
GCF_002234675.1	ASM223467v1	Oryzias latipes	8090							NCBI Oryzias latipes Annotation Release 103	Chromosome	2017-07-27		24
GCA_000011425.1	ASM1142v1	Aspergillus nidulans FGSC A4	227321		FGSC A4					Annotation submitted by Eurofungbase (Eurofung)	Chromosome	2009-09-24		8
GCF_000011425.1	ASM1142v1	Aspergillus nidulans FGSC A4	227321		FGSC A4					Annotation submitted by Eurofungbase (Eurofung)	Chromosome	2009-09-24		8
GCA_037833965.1	MpTak2_v7.1	Marchantia polymorpha subsp. ruderalis	1480154		Takaragaike-2				female	Annotation submitted by National Institute of Genetics	Chromosome	2024-03-27		9
GCF_019923935.1	NDDB_SH_1	Bubalus bubalis	89462	Murrah				160015118507	female	NCBI Bubalus bubalis Annotation Release 103	Chromosome	2021-09-10	VDCB01	25
GCF_024713975.1	ASM2471397v2	Paralichthys olivaceus	8255					ysfri-2021	female	GCF_024713975.1-RS_2024_10	Chromosome	2022-08-25	JANLNN01	24
GCF_048771995.1	bTaeGut7.mat	Taeniopygia guttata	59729							GCF_048771995.1-RS_2025_04	Chromosome	2025-03-21	JBMDLN01	41
GCF_030705265.1	ASM3070526v1	Helicoverpa armigera	29058					CAAS_96S		GCF_030705265.1-RS_2024_03	Chromosome	2023-08-14	JAIQGS01	31
GCF_028858775.2	NHGRI_mPanTro3-v2.1_pri	Pan troglodytes	9598					AG18354	male	GCF_028858775.2-RS_2024_02	Chromosome	2024-01-08	JAQQLN02	25
GCF_021134715.1	ASM2113471v1	Daphnia pulex	6669					KAP4	pooled male and female	NCBI Daphnia pulex Annotation Release 100	Chromosome	2021-12-09		12
GCA_000027005.1	ASM2700v1	Komagataella phaffii GS115	644223		GS115					Annotation submitted by Unit for Molecular Glycobiology, Department for Molecular Biomedical Research, VIB, UGent, Belgium	Chromosome	2009-05-25		4
GCF_000027005.1	ASM2700v1	Komagataella phaffii GS115	644223		GS115					Annotation submitted by Unit for Molecular Glycobiology, Department for Molecular Biomedical Research, VIB, UGent, Belgium	Chromosome	2009-05-25		4
GCA_000227135.2	ASM22713v2	Leishmania donovani	5661		BPK282A1					Annotation submitted by Wellcome Trust Sanger Institute	Chromosome	2011-12-13		36
GCF_000227135.1	ASM22713v2	Leishmania donovani	5661		BPK282A1					Annotation submitted by Wellcome Trust Sanger Institute	Chromosome	2011-12-13		36
GCA_011022315.1	ASM1102231v1	Saccharomyces pastorianus	27292		CBS 1483					Annotation submitted by Delft University of Technology	Chromosome	2020-02-26		31
GCA_051991645.1	ASM5199164v1	Populus x canadensis	3690			Poplar 107				Annotation submitted by Chinese Academy of Forestry	Chromosome	2025-08-13	JBPYXP01	38
GCF_002022765.2	C_virginica-3.0	Crassostrea virginica	6565					RU13XGHG1-28		NCBI Crassostrea virginica Annotation Release 100	Chromosome	2017-09-01	MWPT03	10
GCF_015104395.2	ASM1510439v2	Macrobrachium nipponense	159736					FS-2020	male	GCF_015104395.2-RS_2024_03	Chromosome	2020-10-29		49
GCA_900079805.1	Fusarium_fujikuroi_IMI58289_V2	Fusarium fujikuroi IMI 58289	1279085		IMI 58289					Annotation submitted by HMGU-IBIS	Chromosome	2013-08-20		12
